iter	RMSE
1351	56399.08912
1352	56354.05516
1353	56341.46754
1354	56313.12458
1355	56280.08916
1356	56217.6112
1357	56167.37483
1358	56165.88213
1359	56110.08737
1360	56064.76488
1361	56020.9066
1362	55973.61104
1363	55957.92101
1364	55851.56966
1365	55806.10065
1366	55781.91138
1367	55755.84363
1368	55706.56256
1369	55648.12625
1370	55583.52344
1371	55525.32921
1372	55475.45837
1373	55451.71811
1374	55443.99886
1375	55329.21705
1376	55283.88467
1377	55244.07921
1378	55207.62512
1379	55180.69698
1380	55155.95209
1381	55066.18868
1382	55026.82249
1383	55011.85029
1384	54983.93402
1385	54875.25328
1386	54837.79483
1387	54806.70479
1388	54754.94207
1389	54753.53854
1390	54672.95211
1391	54609.81222
1392	54583.66911
1393	54493.03581
1394	54469.32933
1395	54424.16865
1396	54391.54659
1397	54367.44731
1398	54335.72909
1399	54300.59191
1400	54274.55894
1401	54272.04563
1402	54237.95749
1403	54106.28169
1404	54051.12852
1405	53994.40707
1406	53918.368
1407	53907.59427
1408	53876.4454
1409	53771.05663
1410	53692.08389
1411	53619.58471
1412	53572.88399
1413	53432.20155
1414	53398.97263
1415	53374.37995
1416	53355.32871
1417	53312.79251
1418	53173.19315
1419	53082.24461
1420	53060.70316
1421	53052.46009
1422	53004.19182
1423	52995.75962
1424	52974.74257
1425	52846.76049
1426	52830.48181
1427	52769.22563
1428	52741.78079
1429	52679.99074
1430	52661.35993
1431	52639.35029
1432	52632.74959
1433	52612.92174
1434	52576.5315
1435	52570.35887
1436	52518.24348
1437	52509.19109
1438	52502.86604
1439	52455.43309
1440	52420.87188
1441	52383.73676
1442	52316.68381
1443	52305.20637
1444	52287.31898
1445	52261.49149
1446	52235.20432
1447	52196.6416
1448	52122.19906
1449	52077.80106
1450	52033.25155
1451	52001.37209
1452	51970.26083
1453	51922.61028
1454	51855.22501
1455	51818.24514
1456	51777.28701
1457	51761.08638
1458	51756.22793
1459	51704.48375
1460	51697.95529
1461	51679.86873
1462	51654.91928
1463	51646.96032
